,id,name,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry
535,537.0,Stubenberg,3.0,0.0,0.0,2.0,1.0,47.251,15.807,1.0,gemeinde,,Steiermark,Steiermark,Südsteiermark,SS,Südsteiermark,POINT (15.807 47.251)
536,538.0,Studenice,2.0,0.0,0.0,2.0,0.0,46.302,15.613,1.0,gemeinde,,Steiermark,Steiermark,Südsteiermark,SS,Südsteiermark,POINT (15.613 46.302)
537,539.0,Südböhmen,2.0,0.0,0.0,1.0,1.0,,,2.0,region,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (nan nan)
538,540.0,Sudice,1.0,0.0,0.0,0.0,1.0,49.53,16.669,1.0,gemeinde,,Mähren,Mähren,Brünner Teil,BT,Brünner Teil,POINT (16.669 49.53)
539,541.0,Südostmähren,0.0,0.0,0.0,0.0,0.0,,,2.0,region,,Mähren,Mähren,Südostmähren,SOM,Südostmähren,POINT (nan nan)
540,542.0,Südostniederösterreich,0.0,0.0,0.0,0.0,0.0,,,2.0,region,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (nan nan)
541,543.0,Südsteiermark,2.0,0.0,0.0,1.0,1.0,,,2.0,region,,Steiermark,Steiermark,Südsteiermark,SS,Südsteiermark,POINT (nan nan)
542,544.0,Südwestböhmen,1.0,0.0,0.0,1.0,0.0,,,2.0,region,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (nan nan)
543,545.0,Sudwestniederösterreich,0.0,0.0,0.0,0.0,0.0,,,2.0,region,,Niederösterreich,Niederösterreich,Sudwestniederösterreich,SWNÖ,Sudwestniederösterreich,POINT (nan nan)
544,546.0,Südwestniederösterreich,0.0,0.0,0.0,0.0,0.0,,,2.0,region,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (nan nan)
545,547.0,Sušice,1.0,0.0,0.0,1.0,0.0,49.231,13.52,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (13.52 49.231)
546,548.0,Svařenice,2.0,0.0,0.0,0.0,2.0,50.5,14.3,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.3 50.5)
547,549.0,Svatobor,1.0,0.0,0.0,0.0,1.0,50.244,13.021,1.0,gemeinde,,Böhmen,Böhmen,Nordwestböhmen,NWB,Nordwestböhmen,POINT (13.021 50.244)
548,550.0,Svätý Júr,3.0,1.0,1.0,1.0,0.0,48.254,17.213,1.0,gemeinde,,Ungarn,Ungarn,Westungarn,WU,Westungarn,POINT (17.213 48.254)
549,551.0,Svečina,2.0,1.0,1.0,0.0,0.0,46.666,15.588,1.0,gemeinde,,Steiermark,Steiermark,Südsteiermark,SS,Südsteiermark,POINT (15.588 46.666)
550,552.0,Svibno,1.0,0.0,0.0,1.0,0.0,46.064,15.098,1.0,gemeinde,,Krain + Aquileia,Krain,Krain,Kr,Krain,POINT (15.098 46.064)
551,553.0,Tachov,4.0,1.0,1.0,1.0,1.0,49.795,12.634,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.634 49.795)
552,554.0,Tannberg,1.0,0.0,0.0,1.0,0.0,48.502,13.939,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (13.939 48.502)
553,555.0,Tegernsee,3.0,0.0,0.0,3.0,0.0,47.71,11.756,1.0,gemeinde,,Ausland,Bayern,Bayern,Ba,Bayern,POINT (11.756 47.71)
554,556.0,Teplá,3.0,0.0,0.0,3.0,0.0,49.98,12.862,1.0,gemeinde,,Böhmen,Böhmen,Südwestböhmen,SWB,Südwestböhmen,POINT (12.862 49.98)
555,557.0,Ternberg,3.0,0.0,0.0,1.0,2.0,47.946,14.357,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.357 47.946)
556,558.0,Těšetice,1.0,0.0,0.0,0.0,1.0,49.593,17.129,1.0,gemeinde,,Mähren,Mähren,Olmützer Teil,OT,Olmützer Teil,POINT (17.129 49.593)
