id,geometry,travel,stay,diff,centroid
8452eb5ffffffff,"POLYGON ((12.78596412229735 48.05019925860811, 12.59105209838745 47.9301550608178, 12.40888476918056 48.0262830813029, 12.4213797922801 48.24159679411341, 12.61548759528882 48.36148570050091, 12.79790262081029 48.26621817206564, 12.78596412229735 48.05019925860811))",0,0,0,POINT (12.60337446942223 48.14613121255088)
845209dffffffff,"POLYGON ((17.97171750636056 46.67311892963118, 17.7687538574568 46.54733410586488, 17.57251651174966 46.6527769294132, 17.57904312082297 46.88306758843635, 17.78120813165824 47.00872487408767, 17.97764333509097 46.90422161081935, 17.97171750636056 46.67311892963118))",0,0,0,POINT (17.77512514658867 46.77835995664051)
8452433ffffffff,"POLYGON ((16.88475137124078 51.27316456037823, 16.69197036765165 51.14818079058012, 16.50237296844979 51.23770277786417, 16.50544556911226 51.45127123923521, 16.69743927747622 51.57599512491946, 16.88714564902526 51.48741205106784, 16.88475137124078 51.27316456037823))",0,0,0,POINT (16.69481931552558 51.36244632958873)
8452565ffffffff,"POLYGON ((16.59151400823969 46.94475010166958, 16.3902293255425 46.82051927006911, 16.1973494091226 46.92373140364628, 16.20553852297893 47.15025918105029, 16.40601964272705 47.27435717762462, 16.59911332943568 47.17206265451497, 16.59151400823969 46.94475010166958))",30,0,-30,POINT (16.39825779231243 47.04776272834422)
8452e03ffffffff,"POLYGON ((14.99122497830223 46.18519948434449, 14.79016433640875 46.06305583518534, 14.60058880081088 46.16709389203957, 14.61181606556953 46.39239417820727, 14.81207000650716 46.51443257821292, 15.00190152403278 46.41127839253903, 14.99122497830223 46.18519948434449))",0,0,0,POINT (14.80124244513913 46.28905195708313)
8452e51ffffffff,"POLYGON ((15.98751995618991 46.57287077566838, 15.78611090964716 46.44945364376447, 15.59438502097225 46.5532518719807, 15.60383437759885 46.77956557408795, 15.80443814720285 46.90286308952712, 15.9963959659185 46.79996896941667, 15.98751995618991 46.57287077566838))",39,0,-39,POINT (15.79540524452329 46.67647570336249)
8463869ffffffff,"POLYGON ((12.04092463078185 51.44574513062259, 11.85350051511783 51.32656821858772, 11.67703155854326 51.41140113733469, 11.68779642119313 51.61455845778001, 11.87443013386157 51.73349496550701, 12.05108728871871 51.64951593277933, 12.04092463078185 51.44574513062259))",0,0,0,POINT (11.86405521802575 51.53035837130191)
8452c4dffffffff,"POLYGON ((13.5706175181454 45.10984721920369, 13.36941064530161 44.98970431206141, 13.18265700082075 45.09566385027463, 13.19680831205085 45.32091883678476, 13.39720989074883 45.44099277969917, 13.58426366008328 45.33588323818391, 13.5706175181454 45.10984721920369))",0,0,0,POINT (13.3834289309601 45.21563765057018)
8463b3dffffffff,"POLYGON ((11.97608339663413 50.20943919995839, 11.78633004708106 50.0902213889131, 11.60864798886471 50.17888053957767, 11.62050269074392 50.38590582790081, 11.80945990741827 50.5049136549103, 11.98735649171475 50.41710775628422, 11.97608339663413 50.20943919995839))",0,0,0,POINT (11.79798840841846 50.29788763433782)
84520c7ffffffff,"POLYGON ((18.54627706317184 45.65020713270285, 18.3409225122415 45.524105178244, 18.1427507786801 45.63340019128802, 18.14971865246765 45.86786058058715, 18.35427724930477 45.99386803318765, 18.55266216567297 45.88551241185699, 18.54627706317184 45.65020713270285))",0,0,0,POINT (18.34775317815721 45.75931000010632)
8452ed1ffffffff,"POLYGON ((14.71933513076746 48.82917755745052, 14.52356183456283 48.70679696383501, 14.33695616894573 48.80224864263308, 14.34592086930257 49.01918645774063, 14.54089069115528 49.14138345013786, 14.72769728546919 49.0468281872325, 14.71933513076746 48.82917755745052))",825,600,-225,POINT (14.53233978259947 48.92441865214303)
84525a9ffffffff,"POLYGON ((14.94547917948813 49.81850381057098, 14.75142011804493 49.69580059432241, 14.56519744386396 49.7883047327512, 14.57285652136928 50.00261067210586, 14.76611579682913 50.12510193615, 14.95251374544898 50.03350100454329, 14.94547917948813 49.81850381057098))",1225,0,-1225,POINT (14.75887878066549 49.91078792566876)
8452521ffffffff,"POLYGON ((15.82998567221965 47.57817391548775, 15.6306415850506 47.45468358822914, 15.44010879299494 47.55514734233844, 15.44870683641405 47.77819463175013, 15.64724623782012 47.90153454307105, 15.83799035268778 47.80197983514192, 15.82998567221965 47.57817391548775))",4,0,-4,POINT (15.63906942892444 47.67843453950838)
8452091ffffffff,"POLYGON ((17.78120813165824 47.00872487408767, 17.57904312082297 46.88306758843635, 17.38347599978447 46.98724517579477, 17.38987906930438 47.2161434850827, 17.59124489573929 47.34166280488699, 17.7870049777038 47.2384242746099, 17.78120813165824 47.00872487408767))",0,0,0,POINT (17.58528520533024 47.11269771599549)
8452cc3ffffffff,"POLYGON ((12.03329681843452 48.00253038535199, 11.83933562094545 47.88335355004214, 11.65922371755766 47.97893950830726, 11.67281148579674 48.19285628355167, 11.86597015974678 48.31188138705807, 12.04634161882389 48.21714339943421, 12.03329681843452 48.00253038535199))",0,0,0,POINT (11.85275309483236 48.09792350124202)
8452c45ffffffff,"POLYGON ((13.18265700082075 45.09566385027463, 12.98195543139633 44.97596196537062, 12.79621169531555 45.08158056221413, 12.81086208038553 45.30605986335378, 13.0107589186732 45.42569374022406, 13.19680831205085 45.32091883678476, 13.18265700082075 45.09566385027463))",0,0,0,POINT (12.99647307621546 45.201114719093)
8452cc7ffffffff,"POLYGON ((11.82571670451222 47.66817494759612, 11.63145103463809 47.54928537173159, 11.45160857965042 47.64571421363554, 11.46576039508167 47.86019174432449, 11.65922371755766 47.97893950830726, 11.83933562094545 47.88335355004214, 11.82571670451222 47.66817494759612))",0,0,0,POINT (11.64543723050043 47.76441472289514)
84525e5ffffffff,"POLYGON ((15.30644586745902 49.19776614016927, 15.11078443174866 49.07466256244804, 14.92302143575532 49.16947683227104, 14.93073475523408 49.38648871609759, 15.12559457995078 49.50939611962026, 15.31354068783638 49.41548973766772, 15.30644586745902 49.19776614016927))",239,144,-95,POINT (15.11830498667064 49.29236416123764)
845250dffffffff,"POLYGON ((16.81979691546588 47.97480029121167, 16.62030948528351 47.85006060631762, 16.42772446763696 47.95020418813116, 16.43443891519043 48.17416084626228, 16.63312504433769 48.29873501365509, 16.82589609749086 48.19952028354659, 16.81979691546588 47.97480029121167))",296,0,-296,POINT (16.62684746287859 48.07473288685775)
845258bffffffff,"POLYGON ((15.54388045952245 50.83096844261991, 15.35129713667998 50.70757518977707, 15.16458123469021 50.79735770498571, 15.17030396407228 51.00962031310359, 15.36209331820455 51.13277189739039, 15.54895185803669 51.04390417859648, 15.54388045952245 50.83096844261991))",0,0,0,POINT (15.35680489655 50.92052025877376)
8452519ffffffff,"POLYGON ((16.85250648487858 49.3129239136505, 16.65567181689896 49.18796709449299, 16.46419589999444 49.28383018884057, 16.46939826534792 49.50371642804458, 16.66543575562767 49.62846777382828, 16.85706607609169 49.53354034332185, 16.85250648487858 49.3129239136505))",197,0,-197,POINT (16.66067784965313 49.40856319836413)
8452e0bffffffff,"POLYGON ((15.3832231457124 46.20343485354336, 15.18176002394541 46.0808336590649, 14.99122497830223 46.18519948434449, 15.00190152403278 46.41127839253903, 15.20255834460333 46.53377296909186, 15.39334306395807 46.43029773063689, 15.3832231457124 46.20343485354336))",112,0,-112,POINT (15.19228713328067 46.30761352364449)
8452e17ffffffff,"POLYGON ((14.63353057667399 46.8411445361594, 14.43408350184319 46.71922128483066, 14.24593539488614 46.82086195472688, 14.25698584269654 47.04354474245974, 14.4556260484659 47.16534320361217, 14.64402077261385 47.06458597777603, 14.63353057667399 46.8411445361594))",42,0,-42,POINT (14.44497523937939 46.94259400776352)
8463b33ffffffff,"POLYGON ((11.64365976023608 50.79803706764487, 11.45549697422903 50.67924589038262, 11.27943352001871 50.76577762851856, 11.29132318286832 50.97025415188534, 11.47869334507164 51.08882222557405, 11.65496438819855 51.00313834560109, 11.64365976023608 50.79803706764487))",0,0,0,POINT (11.46718513123282 50.88435521573459)
