,certainty,name,geometry,geometry_source,locality,date,period,domestic
23,1.0,Velehrad,POINT (17.395 49.105),POINT (16.388 48.221),Wien,1252-01-22,1,True
24,1.0,Heiligenkreuz,POINT (16.131 48.056),POINT (16.388 48.221),Wien,1252-01-22,1,True
25,1.0,Salzburg,POINT (13.048 47.797),POINT (16.388 48.221),Wien,1252-01-22,1,True
26,1.0,Mondsee,POINT (13.35 47.855),POINT (16.388 48.221),Wien,1252-01-22,1,True
27,1.0,Ybbs an der Donau,POINT (15.064 48.175),POINT (16.388 48.221),Wien,1252-01-22,1,True
28,1.0,Stein an der Donau,POINT (15.582 48.402),POINT (16.388 48.221),Wien,1252-01-22,1,True
29,1.0,Ebersberg,POINT (11.973 48.086),POINT (16.388 48.221),Wien,1252-01-22,1,True
30,1.0,Waldhausen im Strudengau,POINT (14.948 48.273),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
31,1.0,Waldhausen im Strudengau,POINT (14.948 48.273),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
32,2.0,Machland,POINT (nan nan),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
33,1.0,Laa an der Thaya,POINT (16.384 48.728),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
34,1.0,Regensburg,POINT (12.102 49.015),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
35,1.0,Tulln,POINT (16.059 48.331),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
36,1.0,Michelhausen,POINT (15.937 48.29),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
37,1.0,Possendorf,POINT (13.715 50.967),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
38,1.0,Michelndorf,POINT (15.895 48.28),POINT (16.946 48.146),Hainburg,1252-03-09,1,True
39,1.0,Wiener Neustadt,POINT (16.24 47.81),POINT (16.24 47.81),Wiener Neustadt,1252-03-15,1,True
40,1.0,Tegernsee,POINT (11.756 47.71),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
41,3.0,Metten,POINT (12.914 48.852),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
42,1.0,Linz,POINT (14.286 48.306),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
43,1.0,Enns,POINT (14.479 48.214),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
44,1.0,Mauthausen,POINT (14.516 48.241),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
45,3.0,Metten,POINT (12.914 48.852),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
46,3.0,Metten,POINT (12.914 48.852),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
47,1.0,Dürnstein,POINT (15.525 48.407),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
48,3.0,Eisenreichdornach,POINT (14.891 48.131),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
49,1.0,Tegernsee,POINT (11.756 47.71),POINT (15.62 48.41),Krems an der Donau,1252-04-07,1,True
50,1.0,Žďár nad Sázavou,POINT (15.939 49.564),POINT (16.61 49.19),Brno,1252-05-16,1,False
51,1.0,Brno,POINT (16.61 49.19),POINT (16.61 49.19),Brno,1252-05-16,1,False
52,1.0,Znojmo,POINT (16.05 48.86),POINT (16.05 48.86),Znojmo,1252-07-15,1,False
53,1.0,Praha,POINT (14.41 50.09),POINT (16.05 48.86),Znojmo,1252-07-15,1,False
54,1.0,Steyr,POINT (14.419 48.039),POINT (14.286 48.306),Linz,1252-09-15,1,True
55,1.0,Steyr,POINT (14.419 48.039),POINT (14.286 48.306),Linz,1252-09-15,1,True
56,1.0,Losenstein,POINT (14.438 47.925),POINT (14.286 48.306),Linz,1252-09-15,1,True
57,1.0,Rein,POINT (15.285 47.135),POINT (15.45 47.067),Graz,1252-10-30,1,False
58,1.0,Graz,POINT (15.45 47.067),POINT (15.45 47.067),Graz,1252-10-30,1,False
59,1.0,Wiener Neustadt,POINT (16.24 47.81),POINT (15.45 47.067),Graz,1252-10-30,1,False
60,1.0,Wilhering,POINT (14.19 48.324),POINT (14.286 48.306),Linz,1252-12-01,1,True
61,1.0,Wilhering,POINT (14.19 48.324),POINT (14.286 48.306),Linz,1252-12-01,1,True
62,1.0,Wilhering,POINT (14.19 48.324),POINT (14.286 48.306),Linz,1252-12-01,1,True
63,1.0,Gramastetten,POINT (14.192 48.379),POINT (14.286 48.306),Linz,1252-12-01,1,True
64,1.0,Wilhering,POINT (14.19 48.324),POINT (14.286 48.306),Linz,1252-12-01,1,True
65,1.0,Seitenstetten,POINT (14.655 48.036),POINT (14.286 48.306),Linz,1252-12-01,1,True
66,1.0,Altenhofen,POINT (14.547 48.182),POINT (14.286 48.306),Linz,1252-12-01,1,True
67,1.0,Osterhofen,POINT (12.997 48.687),POINT (15.62 48.41),Krems an der Donau,1252-12-29,1,True
68,3.0,Freising,POINT (11.746 48.399),POINT (16.388 48.221),Wien,1253-03-05,1,True
69,1.0,Groß-Enzersdorf,POINT (16.551 48.197),POINT (16.388 48.221),Wien,1253-03-05,1,True
70,1.0,Wien,POINT (16.388 48.221),POINT (16.388 48.221),Wien,1253-03-05,1,True
71,1.0,Passau,POINT (13.469 48.575),POINT (14.41 50.09),Praha,1253-04-11,1,False
72,1.0,Linz,POINT (14.286 48.306),POINT (14.41 50.09),Praha,1253-04-11,1,False
73,1.0,Eferding,POINT (14.02 48.308),POINT (14.41 50.09),Praha,1253-04-11,1,False
74,1.0,Wels,POINT (14.027 48.158),POINT (14.41 50.09),Praha,1253-04-11,1,False
75,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1253-04-11,1,False
76,1.0,Wiener Neustadt,POINT (16.24 47.81),POINT (16.24 47.81),Wiener Neustadt,1253-05-04,1,True
77,1.0,Wiener Neustadt,POINT (16.24 47.81),POINT (15.095 47.379),Leoben,1253-05-21,1,False
78,1.0,Leibnitz,POINT (15.539 46.782),POINT (15.095 47.379),Leoben,1253-05-21,1,False
79,1.0,Sankt Georgen an der Stiefing,POINT (15.576 46.878),POINT (15.095 47.379),Leoben,1253-05-21,1,False
80,3.0,Hohenberg,POINT (15.622 47.91),POINT (15.62 48.41),Krems an der Donau,1253-06-22,1,True
81,1.0,Krumau an der Kamp,POINT (15.448 48.591),POINT (15.62 48.41),Krems an der Donau,1253-06-22,1,True
82,1.0,Altpölla,POINT (15.378 48.629),POINT (15.62 48.41),Krems an der Donau,1253-06-22,1,True
83,1.0,Winkl,POINT (15.48 48.668),POINT (15.62 48.41),Krems an der Donau,1253-06-22,1,True
84,1.0,Geras,POINT (15.665 48.781),POINT (16.61 49.19),Brno,1253-07-23,1,False
85,1.0,Kostelní Myslová,POINT (15.429 49.148),POINT (16.61 49.19),Brno,1253-07-23,1,False
86,1.0,Olomouc,POINT (17.252 49.596),POINT (17.252 49.596),Olomouc,1253-08-16,1,False
87,1.0,Olomouc,POINT (17.252 49.596),POINT (17.252 49.596),Olomouc,1253-08-16,1,False
88,1.0,Břevnov,POINT (14.383 50.074),POINT (14.41 50.09),Praha,1253-09-06,1,False
89,1.0,Police nad Metují,POINT (16.234 50.537),POINT (14.41 50.09),Praha,1253-09-06,1,False
90,1.0,Zwettl,POINT (15.169 48.607),POINT (16.198 48.631),Kleinweikersdorf,1253-09-23,2,True
91,1.0,Horn,POINT (15.656 48.665),POINT (16.198 48.631),Kleinweikersdorf,1253-09-23,2,True
